id,date,temperatur,schneehoehe,schneetage
4125,1999-01-01,4.324175824,4.21978022,75
4125,2000-01-01,4.961878453,1.397790055,30
4125,2001-01-01,3.927624309,5.171270718,57
4125,2002-01-01,3.837569061,4.651933702,59
4125,2003-01-01,4.15989011,4.093406593,71
4125,2004-01-01,3.008839779,8.220994475,67
4125,2005-01-01,1.84640884,14.64088398,122
4125,2006-01-01,.,.,.
4125,2007-01-01,.,.,.
4125,2008-01-01,.,.,.
4125,2009-01-01,.,.,.
4125,2010-01-01,.,.,.
4125,2011-01-01,.,.,.
4125,2012-01-01,.,.,.
4125,2013-01-01,.,.,.
4125,2014-01-01,.,.,.
5792,1961-01-01,-9.871270718,271.1381215,181
5792,1962-01-01,-11.07513812,305.2596685,181
5792,1963-01-01,-8.036813187,133.3846154,182
5792,1964-01-01,-10.5718232,382.9944751,181
5792,1965-01-01,-9.700552486,263.519337,181
5792,1966-01-01,-10.53756906,295.5690608,181
5792,1967-01-01,-9.467032967,245.7967033,182
5792,1968-01-01,-9.652486188,147.0662983,181
5792,1969-01-01,-11.40110497,224.3867403,181
5792,1970-01-01,-9.627071823,249.7016575,181
5792,1971-01-01,-7.923076923,141.543956,182
5792,1972-01-01,-9.542541436,227.0883978,181
5792,1973-01-01,-8.731491713,362.3149171,181
5792,1974-01-01,-8.906629834,441.0828729,181
5792,1975-01-01,-9.047802198,206.2307692,182
5792,1976-01-01,-9.508287293,280.038674,181
5792,1977-01-01,-9.692265193,293.7292818,181
5792,1978-01-01,-9.535911602,259.7790055,181
5792,1979-01-01,-10.38021978,333.2142857,182
5792,1980-01-01,-10.04033149,396.7127072,181
5792,1981-01-01,-10.63314917,390.5248619,181
5792,1982-01-01,-8.516574586,289.1767956,181
5792,1983-01-01,-10.31703297,233.2142857,182
5792,1984-01-01,-9.784530387,188.6187845,181
5792,1985-01-01,-10.25966851,202.038674,181
5792,1986-01-01,-10.01491713,229.1546961,181
5792,1987-01-01,-9.114835165,249.6153846,182
5792,1988-01-01,-7.66961326,224.5856354,181
5792,1989-01-01,-7.174585635,183.0773481,181
5792,1990-01-01,-9.374585635,179.8066298,181
5792,1991-01-01,-8.626923077,260.510989,182
5792,1992-01-01,-7.929834254,271.3535912,181
5792,1993-01-01,-9.114364641,199.1546961,181
5792,1994-01-01,-8.925966851,233.558011,181
5792,1995-01-01,-9.501098901,234.3901099,182
5792,1996-01-01,-8.270165746,254.5856354,181
5792,1997-01-01,-8.099447514,206.7403315,181
5792,1998-01-01,-9.908839779,349.5856354,181
5792,1999-01-01,-9.391758242,276.5384615,182
5792,2000-01-01,-8.574033149,159.2375691,181
5792,2001-01-01,-8.764088398,280.8066298,181
5792,2002-01-01,-9.048618785,234.8066298,181
5792,2003-01-01,-8.931318681,248.5714286,182
5792,2004-01-01,-9.950828729,195.1270718,181
5792,2005-01-01,-10.39060773,209.0497238,180
5792,2006-01-01,-6.501104972,133.0165746,180
5792,2007-01-01,-8.884615385,238.2307692,182
5792,2008-01-01,-9.484530387,247.2209945,181
5792,2009-01-01,-10.10773481,196.5359116,181
5792,2010-01-01,-8.760773481,181.4254144,181
5792,2011-01-01,-8.133516484,308.9835165,182
5792,2012-01-01,-8.982872928,229.9834254,181
5792,2013-01-01,-7.051933702,179.0718232,181
5792,2014-01-01,-8.071823204,251.1436464,181
5941,1961-01-01,-0.230939227,37.20441989,144
5941,1962-01-01,-2.409944751,63.93370166,151
5941,1963-01-01,-0.138461538,17.2032967,121
5941,1964-01-01,-0.483977901,55.18232044,139
5941,1965-01-01,0.833701657,33.67955801,141
5941,1966-01-01,-0.074585635,59.35359116,158
5941,1967-01-01,-0.007142857,53.67582418,139
5941,1968-01-01,-0.398895028,26.6961326,125
5941,1969-01-01,-1.645856354,64.10497238,158
5941,1970-01-01,-0.397237569,30.37016575,147
5941,1971-01-01,1.364835165,5.28021978,106
5941,1972-01-01,-1.34198895,64.62430939,170
5941,1973-01-01,1.128176796,48.40883978,144
5941,1974-01-01,0.775690608,36.05524862,158
5941,1975-01-01,-0.085164835,17.33516484,131
5941,1976-01-01,0.263535912,39.48066298,143
5941,1977-01-01,0.068508287,33.08839779,151
5941,1978-01-01,-0.215469613,22.59116022,145
5941,1979-01-01,0.178571429,39.81868132,173
5941,1980-01-01,-0.791160221,71.62430939,146
5941,1981-01-01,-0.833149171,83.8121547,169
5941,1982-01-01,1.335359116,18.1878453,125
5941,1983-01-01,-0.798901099,32.1978022,145
5941,1984-01-01,-0.624309392,17.15469613,112
5941,1985-01-01,-0.56519337,30.44198895,151
5941,1986-01-01,-0.775138122,48.61878453,126
5941,1987-01-01,0.944505495,35.77472527,125
5941,1988-01-01,1.286187845,26.2320442,127
5941,1989-01-01,0.873480663,6.287292818,111
5941,1990-01-01,-0.371270718,14.6519337,120
5941,1991-01-01,-0.78021978,40.1978022,157
5941,1992-01-01,0.365745856,14.24309392,130
5941,1993-01-01,0.679558011,26.01657459,137
5941,1994-01-01,0.94198895,29.55248619,129
5941,1995-01-01,-0.372527473,11.02747253,141
5941,1996-01-01,0.21878453,14.06077348,134
5941,1997-01-01,1.888950276,5.552486188,83
5941,1998-01-01,-0.033701657,44.31491713,146
5941,1999-01-01,0.287912088,44.09340659,154
5941,2000-01-01,1.637569061,14.3480663,105
5941,2001-01-01,0.374585635,20.36464088,120
5941,2002-01-01,0.828729282,19.09944751,99
5941,2003-01-01,.,.,.
5941,2004-01-01,.,.,.
5941,2005-01-01,.,.,.
5941,2006-01-01,.,.,.
5941,2007-01-01,0.147802198,26.24175824,140
5941,2008-01-01,0.483977901,39.88950276,147
5941,2009-01-01,0.657458564,15.37016575,110
5941,2010-01-01,1.040883978,21.0718232,114
5941,2011-01-01,0.574175824,43.74725275,118
5941,2012-01-01,0.470718232,31.4640884,130
5941,2013-01-01,2.373480663,5.005524862,79
5941,2014-01-01,1.906629834,18.07734807,95
5467,1961-01-01,-3.096132597,99.0441989,171
5467,1962-01-01,-4.312707182,117.0220994,175
5467,1963-01-01,-2.091758242,44.22527473,171
5467,1964-01-01,-4.067955801,166.6077348,181
5467,1965-01-01,-3.020441989,100.7955801,174
5467,1966-01-01,-3.947513812,163.3535912,179
5467,1967-01-01,-2.849450549,110.1263736,169
5467,1968-01-01,-2.956906077,81.41436464,162
5467,1969-01-01,-4.987292818,150.1657459,177
5467,1970-01-01,-3.098342541,75.16022099,181
5467,1971-01-01,-1.257142857,23.18131868,174
5467,1972-01-01,-3.022651934,110.3922652,180
5467,1973-01-01,-1.746961326,90.44751381,181
5467,1974-01-01,-2.351933702,100.2430939,181
5467,1975-01-01,-2.791208791,53.32417582,168
5467,1976-01-01,-2.672375691,106.2762431,176
5467,1977-01-01,-2.833149171,69.83977901,171
5467,1978-01-01,-2.675690608,54.14364641,174
5467,1979-01-01,-3.267582418,105.0769231,180
